	kor	eng
2907	우와!	Wow!
2908	설마!	Unbelievable!
2909	멋져!	Wonderful!
2910	끝내주네!	Fantastic!
2911	굉장해!	Awesome!
2912	도와줘!	Help!
2913	안녕.	Hi.
2914	점프해.	Jump.
2915	뛰어!	Run!
2916	점프!	Jump!
2917	진정해.	Relax.
2918	기다려!	Wait!
2919	잠깐!	Wait!
2920	쏴!	Fire!
2921	들어.	Listen.
2922	공격!	Attack!
2923	공격해!	Attack!
2924	꼼짝마!	Freeze!
2925	웃어.	Smile.
2926	시작해.	Begin.
2927	쏴!	Shoot!
2928	잘자.	Goodnight.
2929	아무도 안왔어.	Nobody came.
2930	너무 늦어.	Too late.
2931	물고기요.	"Fish	 please."
2932	쇠고기요.	"Beef	 please."
2933	서둘러 주세요.	Please hurry.
2934	그만 투덜거려.	Stop grumbling.
2935	가상해.	You tried.
2936	나는 기절했어.	I fainted.
2937	쉬엄쉬엄 일해.	Work slowly.
2938	좀더 큰소리로 부탁해.	"Louder	 please."
2939	뭐라고?	Pardon me?
2940	귀엽잖아!	How cute!
2941	재밌잖아!	What fun!
2942	이렇게 멋질 수가!	How wonderful!
2943	이렇게 귀엽다니!	How cute!
2944	이렇게 재미있을 수가!	What fun!
2945	저리 가.	Beat it.
2946	계속해.	Go ahead.
2947	여기로 와.	Come here.
2948	누가 신경써?	Who cares?
2949	담배 피지 마.	Stop smoking.
2950	당장 떠나.	Leave now.
2951	우리는 시도할거야.	We try.
2952	따라와.	Follow me.
2953	대답해.	Answer me.
2954	나는 웃었어.	I laughed.
2955	나는 늦잠잤어.	I overslept.
2956	도와줘.	Help me.
2957	식물이 자란다.	Plants grow.
2958	조용히 해!	Keep quiet!
2959	오늘부로 우리는 열살이 되네.	"Today	 we turn ten years old."
2960	나는 더 이상 톰이 내 친구가 되고 싶어한다고 생각하지 않아.	I don't think Tom wants to be my friend anymore.
2961	기억을 억지로 잊게 할 수는 없어.	You can't force yourself to forget something.
2962	내가 그걸 한 유일한 사람이야.	I'm the only person who did that.
2963	톰은 자신이 약하다고 말했다.	Tom said he's weak.
2964	톰은 매일 밤마다 울어댔다.	Tom has been crying every night.
2965	톰이 우리가 저걸 하고싶어하는지 물어보던데.	Tom asked us if we'd like to do that.
2966	그 사람의 농담은 우리 모두를 웃게 했었어.	Her jokes made us all laugh.
2967	정말 시끄럽네.	It's really loud.
2968	나는 거의 실수를 하지 않아.	I rarely make a mistake.
2969	나는 조금 네가 걱정돼.	I'm little worried about you.
2970	확실해?	Are you sure about that?
2971	죽음과 세금만큼 확실한 것은 없어.	Nothing is certain but death and taxes.
2972	나를 가까이서 봐.	Watch me closely.
2973	이 책은 정말 유용하네.	This book is of great use.
2974	난 톰 집의 지름길을 알고 있었어.	I knew a shortcut to Tom's house.
2975	내일 날씨는 어때?	What's the weather tomorrow?
2976	말하려 하지마. 차라리 에너지를 아껴.	Don't try to talk. Save your energy.
2977	왜 경찰서에 가지 않았어?	Why didn't you go to the police?
2978	나는 혼나고 싶지 않았어.	I didn't want to be punished.
2979	너는 날 속인 적이 있었지.	You've deceived me before.
2980	내가 하는 일은 네가 하는 것처럼 쉽지 않아.	My work is not as easy as yours.
2981	톰은 버터를 너무 좋아하네.	Tom likes butter too much.
2982	내 생각에 톰은 기분이 상해있어.	I think that Tom is offended.
2983	나는 톰을 구하려고 노력했어.	I tried to save Tom.
2984	톰의 새로운 자동차에 대해 어떻게 생각해?	What do you think of Tom's new car?
2985	톰은 날 사랑하고 나도 톰을 사랑해.	"Tom loves me	 and I love Tom."
2986	나는 톰이 보스턴으로 이사하는 것을 원하지 않아.	I don't want Tom to move to Boston.
2987	톰을 설득하려고 시간을 낭비하지마.	Don't waste your time trying to convince Tom.
2988	여기에 아이들이 있어.	There are children here.
2989	난 톰이 왜 울었는지를 알고있어.	I know why Tom was crying.
2990	톰이 말하길 메리는 저런 것을 한번도 한 적이 없대.	Tom said that Mary has never done that.
2991	톰은 우리가 저건 할 수 없다는 것을 알고 있어.	Tom knows that we can't do that.
2992	누군가 내 시계를 훔쳤어.	Someone stole my watch.
2993	차를 멈추게하고 쉬는게 어때?	How about stopping the car and taking a rest?
2994	"봐봐	 나 진짜 바쁘잖아."	"Look	 I'm really busy."
2995	톰은 자신의 할아버지를 무서워한다는 것을 난 알고있었지.	I knew Tom was afraid of his grandfather.
2996	곧 갈게.	I'll be there soon.
2997	왜 톰은 자는 것을 두려워할까?	Why is Tom afraid to go to sleep?
2998	"흠	 너는 확실히 톰에게 연애감정을 가지고 있군."	"Well	 you obviously have romantic feelings for Tom."
2999	너무 실망했어.	I was very disappointed.
3000	톰과 대화할 기회라도 생겼어?	Did you get a chance to talk with Tom?
3001	이 피자 너무 끔찍해.	This pizza is terrible.
3002	남녀간의 결합을 결혼이라고 하지.	Marriage is the union of a man and woman.
3003	그사람은 좀 지쳐보였어.	He looked quite tired.
3004	톰이 괜찮은지 확인해줄 수 있어?	Could you make sure Tom is OK?
3005	톰은 날 절대 따라잡을 수 없겠지.	Tom will never catch me.
3006	나랑 톰은 월요일마다 만나.	Tom and I meet every Monday.
3007	톰한테 말거는 것은 쓸데없어.	It's no use talking to Tom.
3008	톰은 아주 조용한 사람이야.	Tom is a very quiet person.
3009	내가 왜 여기있는지 알아?	Do you know why I'm here?
3010	난 지금 자신감에 넘치고 있어.	I'm feeling really confident now.
3011	메리는 매력적인데다가 지적이야.	Mary is both attractive and intelligent.
3012	톰은 자기 차에서 자고 있었어.	Tom has been sleeping in his car.
3013	톰의 태도가 변했어.	Tom's attitude has changed.
3014	왜 톰이 떠났을까 궁금하네.	I wonder why Tom left.
3015	이걸 어떻게 하는지 아는 사람?	Does anybody here know how this thing works?
3016	뭐에 대해 쓰고있어?	What are you writing about?
3017	너 정말로 결혼생각이 있어?	Are you really thinking about getting married?
3018	나는 해외에 가고 싶었어.	I wanted to go abroad.
3019	왜 그걸 사고싶어했어?	Why did you want to buy them?
3020	메리와 앨리스가 서로 자매였다는 것을 알고 있었어?	Did you know Mary and Alice were sisters?
3021	그사람이 나를 파티에 초대했어.	He invited me to the party.
3022	톰은 시험 간신히 붙었어.	Tom barely passed the exam.
3023	톰은 아직도 솔로야.	Tom is still single.
3024	톰은 해외에서 공부하기로 결심했대.	Tom has decided to study abroad.
3025	톰은 테니스 꽤 잘해.	Tom is a pretty good tennis player.
3026	네가 도와줄 수 있는 시간이 있는지 톰이 궁금해하던데.	Tom wants to know if you have any time to help.
3027	지금 당장은 대화할 시간이 없네.	I really can't talk right now.
3028	네가 젊고 사랑에 빠져있다면 세상은 아름다워 보일거야.	"When you're young and you're in love	 the world seems beautiful."
3029	너희들 대단해!	You guys are awesome!
3030	한기를 느껴서 히터를 켰다.	"Feeling chilly	 I turned on the heater."
3031	톰은 여기 있어서 아주 행복해하네.	Tom is very happy here.
3032	나와 함께가지 않을래?	Would you like to go with me?
3033	이게 공부하는 것보다 훨씬 더 재미있어.	This is a lot more fun than studying.
3034	내 생각엔 톰은 지금 오스트레일리아에 없어.	I think that Tom isn't in Australia now.
3035	그사람이 예쁘다는 것은 사실이지만 근데 좀 이기적이야.	"It is true that she is pretty	 but she is selfish."
3036	톰이 질 거라는 것을 난 알고 있었어.	I knew Tom would lose.
3037	내일 어디로 갈거야?	Where will you go tomorrow?
3038	톰은 뛰어난 문제해결능력을 가지고 있어.	Tom has very good problem-solving skills.
3039	톰은 무언가를 말하려고 애써하지 않았어.	Tom didn't try to say anything.
3040	우리 둘다 같은 반이네.	We are both in the same class.
3041	톰은 실망하고싶지 않아해.	Tom doesn't want to be disappointed.
3042	나 약혼했어.	I got engaged.
3043	톰이 일찍 떠났는지 궁금하네.	I wonder whether Tom left early.
3044	그 사람 아프대.	They say he's sick.
3045	톰은 내가 마치 집에 있는 것처럼 편안하게 해주었어.	Tom really made me feel at home.
3046	나 정말 슬퍼.	I feel really sad.
3047	너 이거 한번 맛봐야해. 이거 맛있거든.	You should try this. It's delicious.
3048	나는 매일같이 고기를 먹고 있어.	I eat meat almost every day.
3049	톰은 좀 소심한 것 같지 않아?	"Tom is quite shy	 isn't he?"
3050	네가 어디서 실수 했는지 알고싶어?	Do you want to know where you made your mistake?
3051	나랑 톰 둘다 코미디 보는 것을 선호해.	Both Tom and I prefer watching comedies.
3052	우리가 이길 가능성이 조금이라도 있다고 생각하지 않아.	I didn't think that we had any chance of winning.
3053	그건 잘 모르겠네.	I don't know about this one.
3054	그게 우연이 아니었다는 것을 알고 있었어.	I knew it wasn't an accident.
3055	우리 아기는 아직 말을 못해.	Our baby cannot talk yet.
3056	네 나이프좀 빌려줄래?	Will you lend me your knife?
3057	톰은 다이어트를 해야할 것 같아.	I think Tom should go on a diet.
3058	네 조언은 정말 도움이 되었어.	Your advice has been very helpful.
3059	나좀 그만 봐.	Stop looking at me.
3060	이해한거야 안한거야?	Do you understand or not?
3061	톰이 내가 피곤해보인다고 말했어	Tom said I looked tired.
3062	톰이 말하길 자기가 어제 마리한테 말을 걸었대.	Tom said he spoke to Mary yesterday.
3063	그사람이 말하려고 했어.	He was about to speak.
3064	난 오늘밤 잘 곳이 아무데도 없어.	I have nowhere to sleep tonight.
3065	톰은 정답을 알고있을걸?	I bet Tom knows the answer.
3066	톰이 지각할거라고 예상하고 있어?	Do you expect Tom to be late?
3067	나는 노래도 부를 줄 알고 춤도 출 줄 알아.	I can both sing and dance.
3068	톰은 거짓말 치고 있어.	Tom's lying.
3069	나랑 같이 가고 싶지 않아?	Don't you want to go with me?
3070	어디에서 살고싶어?	Where do you want to live?
3071	난 여기 꽤 만족스러워.	I'm quite happy here.
3072	솔칙히 말하면 나는 내가 할 수 있을거란 자신이 없어.	"To be honest with you	 I don't think I can do that."
3073	우리는 허송세월을 보냈어.	We've wasted a lot of time.
3074	절대로!	Definitely!
3075	신경쓰지마.	Never mind!
3076	그사람들 싸웠어.	They quarreled.
3077	시도해볼게.	I try.
3078	전부 웃었어.	Everybody laughed.
3079	아무일도 없었어.	Nothing happened.
3080	새로운 것이라도 있어?	Anything new?
3081	아래를 봐.	See below.
3082	제발 진정해.	Please relax.
3083	주의깊게 들어.	Listen carefully.
3084	천천히 걸어.	Walk slowly.
3085	불타네.	Fire burns.
3086	얼마나 깊게?	How deep?
3087	그래서?	Then what?
3088	열심히 공부해.	Study hard.
3089	조심해.	Watch yourself.
3090	처신 잘해.	Behave yourself.
3091	어서와.	Welcome home.
3092	잊어버려.	Forget it.
3093	어째서 프랑스어는 이렇게나 어려울까?	Why is French so difficult?
3094	너는 모든 것에 책임이 있어.	You're responsible for everything.
3095	우리 엄마는 나보다 동생을 더 좋아해.	My mom likes my brother more than me.
3096	나는 저런 사람들을 참을 수 없어.	I can't stand these people.
3097	나는 새집을 샀어.	I bought a new house.
3098	아스퍼거는 자폐증의 일종이야.	Asperger syndrome is a form of autism.
3099	고기능 자폐증은 더이상 의학용어나 진단명이 아니야.	High-functioning autism isn't an official medical term or diagnosis.
3100	메리에게는 자폐성향이 있어.	Mary is autistic.
3101	많은 소녀들이 자폐성향을 숨기고 성인이 될때까지 진단을 피하고 있어.	"A lot of girls hide their autism	 sometimes evading diagnosis well into adulthood."
3102	톰은 자폐적인 사람이야.	Tom is an aspie.
3103	톰은 아스퍼거야.	Tom has Asperger's.
3104	톰은 아스퍼거 증후군이라고 진단받았어.	Tom was diagnosed with Asperger's syndrome.
3105	톰은 자폐증과 심각한 우울증으로 진단받았어.	Tom was diagnosed with autism and severe depression.
3106	톰은 동생을 위해 자폐스펙트럼진단을 찾고 있어.	Tom is seeking an ASD diagnosis for his son.
3107	톰은 자폐스펙트럼과 ADHD증상을 갖고있어.	Tom has ASD and ADHD.
3108	톰은 자폐스펙트럼으로 진단받았어.	Tom was diagnosed with ASD.
3109	톰은 세살때 자폐즘으로 진단받았어.	Tom was diagnosed with autism when he was three years old.
3110	내 아들은 자폐아예요.	My son is an Aspie.
3111	그 사람은 자폐성향이 있어.	He's autistic.
3112	브라질에서는 아스퍼거증후군의 발생분포가 0.5%에 다다른 것 같대.	In Brazil the prevalence of Asperger's Syndrome may reach 0.5%.
3113	2곱하기2는 4야.	Two times two equals four.
3114	e^x의 도함수가 뭐야?	What is the derivative of e^x?
3115	그사람한테는 키가 큰 딸이 하나 있어.	She has a daughter who is tall.
3116	너 건망증이 좀 있구나.	You're quite forgetful.
3117	정말 이게 나쁘다고 생각해?	Do you really think it's bad?
3118	따뜻해.	It is warm.
3119	참 친절하구나.	That's very kind.
3120	톰은 문제아였어.	Tom was a troubled child.
3121	항상 네 자료를 인용하도록 해.	Always cite your sources.
3122	지각해서 혼났어.	I was scolded for being late.
3123	"무슨 말을 할지 모르는 채	 그는 침묵을 지키고 있었다."	"Not knowing what to say	 he remained silent."
3124	많은 사람들이 저런 식으로 행동해.	Many people act like that.
3125	소음을 내지 말라고 톰이 우리한테 말했어.	Tom told us not to make any noise.
3126	톰은 지금 집에 갈거래.	Tom is going home now.
3127	너희 둘은 혼자가 되고싶어?	Do you two want to be alone?
3128	톰은 아팠는데 메리는 괜찮았어.	"Tom was sick	 but Mary wasn't."
3129	나는 할아버지를 돌보고 있어.	I take care of my grandfather.
3130	톰은 삼십대 중반이야.	Tom is in his mid-to-late thirties.
3131	나는 네가 다른사람을 만났으면 해.	I want you to meet someone.
3132	와서 이것좀 봐.	Come and see this.
3133	대략 네가 침대에 갔었던 시간이야.	It's about time you went to bed.
3134	내 발명품 시연하게 해주라.	Allow me to demonstrate my invention to you.
3135	톰은 나이프를 떨어뜨렸다.	Tom dropped his knife.
3136	삶은 너무 짧네.	Life is too short.
3137	톰은 한시간 안에 여기로 올 것 같아.	Tom will be here in less than an hour.
3138	톰이 어떤 말을 해야할지 알고있길 바라.	I hope Tom knows what to say.
3139	톰은 가끔 내가 톰의 차를 쓰도록 해줘.	Tom often lets me use his car.
3140	톰은 맨날 잠만 자.	Tom sleeps all the time.
3141	네가 누군지 난 몰랐어.	I didn't know who you were.
3142	톰은 자기가 배고프대.	Tom said he's hungry.
3143	난 톰이 저런걸 할 수 있으리라고 생각하지 않아.	I don't think Tom is able to do that.
3144	톰이 겁먹을 것이라고는 생각 못했어.	I didn't think Tom would be scared.
3145	톰이 다시 건강해져서 다행이야.	I'm glad that Tom is healthy again.
3146	난 톰이 저걸 다시는 하기 싫어한다는 걸 알고 있었어.	I knew that Tom didn't want to do that again.
3147	"톰아	 이건 네 잘못이 아니야."	"Tom	 it isn't your fault."
3148	"그래	 그게 내가 말하려던 것이었어."	"Yes	 that's what I mean."
3149	톰이 관심있어 보이네.	Tom seems interested.
3150	톰은 게으른 아이가 아니야. 실제로는 열심히 해.	"Tom isn't a lazy boy. As a matter of fact	 he works hard."
3151	난 네가 이것보단 똑똑할 줄 알았지.	I thought that you were smarter than that.
3152	톰이 저걸 하고 있을 것 같진 않은데.	I don't think that Tom will be doing that.
3153	톰은 어디에 숨어 있어?	Where's Tom hiding?
3154	여성은 수염이 있는 남성을 좋아해.	Women like men with mustaches.
3155	"적어도 ""고마워""라고는 해줘야지."	"You might at least say ""thank you."""
3156	저기 단체로 무슨 일이야?	What happened to all those people?
3157	나중에 한번 다시 와도 돼?	Can I come some other time?
3158	난 톰과 메리가 나를 인질로 잡을 줄 알았지.	I thought Tom and Mary were going to use me as a hostage.
3159	난 지금 당장은 톰한테 물어볼 수 없어.	I can't ask Tom right now.
3160	우리는 내일 돌아올거야.	We're coming back tomorrow.
3161	입장은 무료야.	Admission is free.
3162	바로 여기서 증거를 잡았어.	I've got proof right here.
3163	그렇게 욕심부리지 마.	Don't be so greedy.
3164	난 겨울이 좋아.	I like winter.
3165	우리 좀 바보짓을 해야할 것 같아.	I think we should do something stupid.
3166	톰이 그랬대?	Did Tom do that?
3167	난 혼자서 가야해.	I have to go alone.
3168	난 톰의 성과가 자랑스러워.	I'm proud of Tom's accomplishments.
3169	톰은 거의 늘 자기방에만 있어.	Tom is in his room most of the time.
3170	더워질거야.	It'll be hot.
3171	난 이 컴퓨터에 대해 많은 것을 알고있어.	I know a lot about this computer.
3172	지금 월요일이라는 것을 자각하고 있어.	I'm aware this is Monday.
3173	이거 정말 기발하네.	This is very ingenious.
3174	나는 너무 바빠서 톰을 못 봐.	I'm too busy to see Tom.
3175	내 평판은 파탄났어.	My reputation has been destroyed.
3176	네가 가장 좋아하는 작곡가는 누구야?	Who's your favorite composer?
3177	전염병 유행중에 수천명의 사람들이 죽었어.	Thousands of people died during the plague.
3178	배움에 나이는 없어.	Nobody is too old to learn.
3179	넌 곧 소음에 익숙해질거야.	You'll soon get used to the noise.
3180	우리가 안으로 들어갈 수 있는지 보자.	Let's see if we can get inside.
3181	톰은 내가 알고 있는 가장 강한 사람이야.	Tom is the strongest man I know.
3182	톰은 프랑스어를 할 수 없었어.	Tom was unable to speak French.
3183	내가 마지막으로 여기에 왔었을 때가 일년 전이야.	The last time I came here was a year ago.
3184	"톰이 자기 아내랑 올까	 아니면 혼자 올까?"	"Will Tom come with his wife	 or alone?"
3185	너의 안전은 우리가 책임지지 않아.	Your safety isn't our responsibility.
3186	톰은 참치통조림 이외의 생선류는 절대 먹지 않아.	Tom doesn't eat any fish except canned tuna.
3187	내 생각엔 톰이 저걸 하고 싶어하지 않는 것 같아.	I suspect that Tom doesn't want to do that.
3188	나는 어제 야근을 해야 했어.	I had to work overtime yesterday.
3189	톰 컴퓨터는 어딨어?	Where's Tom's computer?
3190	내가 그걸 할 수 있는 유일한 사람이군.	I'm the only one who can do that.
3191	먹고 싶은 것들 마음껏 먹어.	Help yourself to anything you'd like to eat.
3192	그 사람은 내일 너를 보러 가지 않을 거야.	He's not going to visit you tomorrow.
3193	우린 변화가 필요해.	We need change.
3194	내가 한 것이 틀렸다고는 생각하지 않았어.	I didn't think that what I did was wrong.
3195	"난 톰이 그냥 신입생일 뿐이라고만 알았는데	 그러다보니 톰이랑 선배들이 서로 어울려다니는 걸 보고 놀랐어."	"I knew that Tom was just a freshman	 so I was surprised to see him hanging out with seniors."
3196	톰이 널 위해서 그걸 해줄 것 같진 않아.	I don't think Tom would do that for you.
3197	살펴보고 싶어?	Do you want to look into it?
3198	내가 혹시 늦을까봐 걱정했었어.	I was afraid I might be late.
3199	모든 학생이 출석한 건 아니었어.	Not all of the students were present.
3200	샌드위치랑 주먹밥 중에 어느 것이 더 부담스러워?	"Which are heavier	 sandwiches or onigiris?"
3201	나는 영화를 봤어.	I watched a movie.
3202	톰은 책임감을 느낀다고 말했어.	Tom said he felt responsible.
3203	톰은 메리가 질투날 거라고 생각했어.	Tom thought that Mary would be jealous.
3204	네 인생에 여자가 있어?	Is there a woman in your life?
3205	너 거기 있어?	Are you in there?
3206	톰은 너 좋아해?	Does Tom like you?
3207	난 이 셔츠는 사지 않겠어.	I won't buy this shirt.
3208	톰이 메리의 주소를 물어보더라.	Tom asked for Mary's address.
3209	톰은 다음주에 스키타러 가기로 결심했다더라.	Tom has decided to go skiing next weekend.
3210	내가 총소리를 들었다고 생각했어.	I thought that I heard gunshots.
3211	탄약이 바닥나고 있어.	We're running out of ammo.
3212	너 떨고 있네.	You're shivering.
3213	난 톰을 위해서 아주 큰 샌드위치를 만들었어.	I made a really big sandwich for Tom.
3214	톰은 반에 있는 남자애들 중에서 가장 커.	Tom is bigger than all the other boys in his class.
3215	메리가 보스턴에 세 번이나 갔다고 톰이 말하더라.	Tom said Mary has been to Boston three times.
3216	톰이 나중에 너한테 설명할거야.	Tom will explain this to you later.
3217	아마 너는 톰에게 말해야 해.	Perhaps you should tell Tom.
3218	내가 경험했던 것 중에 가장 무서운 경험이었어.	It was the most frightening experience that I've ever had.
3219	괜찮아. 한 번 해봐.	Come on. Give it a try.
3220	오늘은 어제처럼 그렇게 덥지는 않네.	It's not as hot today as it was yesterday.
3221	우린 확실히 하고 싶어해.	We want to make sure.
3222	난 널 절대로 용서하지 않을 거야.	I will never forgive you.
3223	이게 대략 어떤 상황인지는 알아.	I know what those situations are like.
3224	우리 엄마가 그 사람은 괜찮다고 말했어.	My mother said that she was all right.
3225	네가 하고 있는 것은 틀린 것 같아.	I think that what you're doing is wrong.
3226	톰은 게임을 하고 있어.	Tom is playing a game.
3227	음악이 없으면 인생도 없어.	"No music	 no life."
3228	내가 들어와도 될까?	Might I come in?
3229	네 조언을 따를게.	I'll follow your advice.
3230	네가 나중에 후회할 만한 말은 하지마.	Don't say something you'll regret later.
3231	또 누가 톰이랑 일해?	Who else does Tom work with?
3232	톰이 이 이야기를 쓴 사람이었어.	Tom was the one who wrote this story.
3233	나랑 톰은 2013년도에 처음 만났어.	Tom and I first met in 2013.
3234	톰은 여전히 수영을 잘 못하지?	"Tom is still not very good at swimming	 is he?"
3235	나는 톰이 체스를 아주 잘 둔다는 것을 알고 있어.	I know that Tom is a very good chess player.
3236	톰은 숨을 참았어.	Tom held his breath.
3237	나는 그냥 쉬고 싶어.	I just want to rest.
3238	난 피폐해질 거야.	I'd be devastated.
3239	톰은 언제 떠나?	When does Tom leave?
3240	내가 더 젊었으면 좋겠어.	I wish I were younger.
3241	톰은 앉고 싶어하지 않아.	Tom doesn't want to sit down.
3242	나는 톰이 공부하는 동안에는 귀찮게 하고 싶지 않았어.	I didn't want to bother Tom while he was studying.
3243	누가 우리한테 노래해 줄거야?	Who's going to sing for us?
3244	톰이 막장 아빠라는 것은 알고 있어.	I know Tom is a terrible father.
3245	안 재밌어.	It's not funny.
3246	신을 믿는 사람들도 있고 아닌 사람도 있어.	Some people believe in God and others don't.
3247	나는 그 사람이 책을 읽는 걸 봤어.	I saw him reading a book.
3248	톰이 메리한테 용서해달라고 부탁하더라.	Tom asked Mary for forgiveness.
3249	우린 죽을 거야. 그치?	"We're going to die	 aren't we?"
3250	내가 톰을 더 도와줄 수 있었다면 좋았을 텐데.	I wish that I could've helped Tom more.
3251	너는 이걸 비밀로 할 수는 없어.	You can't keep this a secret.
3252	난 톰이 메리한테 조언을 안했으면 좋겠어.	I don't want Tom giving Mary advice.
3253	모든 것이 정상이야.	Everything's normal.
3254	시도조차 하지마.	Don't even try it.
3255	너 언제 그 사람과 결혼하자고 할 거야?	When are you going to ask her to marry you?
3256	내 시력 검사 부탁해.	Please check my vision.
3257	의사는 의료도구를 사용해.	Doctors use medical equipment.
3258	톰은 2시 30분에 약속이 있어.	Tom has an appointment at 2:30.
3259	내 걱정 하지 마.	Stop worrying about me.
3260	이보다 더 나쁠 수는 없었어.	It couldn't have been worse.
3261	너 노래 그만 불러야할 것 같아.	You should stop singing.
3262	톰은 정말 살을 빼고 싶어해.	Tom really wants to lose weight.
3263	톰은 경찰이 자기를 찾고 있다는 걸 알아.	Tom knows the police are looking for him.
3264	너 정말 톰이 너한테 도움받도록 내버려 둘 것 같아?	Do you really think Tom will let you help him?
3265	톰이 날 위해 케이크를 만들었어.	Tom made me a cake.
3266	나는 이번주에 저걸 할 시간이 있어.	I have time to do that this week.
3267	난 그 사람의 건강이 너무 걱정돼.	I am very concerned about his health.
3268	난 보스턴 생활이 너무 좋아.	I'm very happy in Boston.
3269	톰은 네가 모르고 있는 걸 알고 있어.	Tom knows something you don't.
3270	나는 피아노를 예전만큼 자주는 안 쳐.	I don't play the piano as often as I used to.
3271	톰은 자택 부엌에서 죽었어.	Tom died in his kitchen.
3272	톰이 드디어 자기 열쇠를 찾았다더라.	Tom finally found his keys.
3273	톰이 어디있는지 알려줄 사람 있을까?	Could anyone tell me where Tom is?
3274	일 년에는 사계절이 있어.	There are four seasons in a year.
3275	나는 톰보다 빠르게 달릴 수 있어.	I run faster than Tom.
3276	이것들 네 사진이야?	Are these your pictures?
3277	왜 톰은 보스턴을 그렇게나 싫어해?	Why does Tom hate Boston so much?
3278	되도록 일인실이면 좋겠어.	I want a single room if possible.
3279	이건 나한테 그다지 중요하진 않아.	That's not very important to me.
3280	톰은 예민한 것 같아.	I think that Tom is sensible.
3281	그 사람한테서 배웠어?	Did you learn it from him?
3282	톰은 돈을 꽤 많이 갖고 있어.	Tom has quite a lot of money.
3283	톰과 메리는 아주 좋은 친구가 되었다더라.	Tom and Mary became very good friends.
3284	난 오후에는 집에 있을려고.	I'm going to be at home this afternoon.
3285	난 톰이 운동을 못한다는 건 알고 있었어.	I knew that Tom wasn't good at sports.
3286	그냥 꿈일 뿐이야.	It's just a dream.
3287	아기가 침대에서 울고 있었어.	The baby was crying in bed.
3288	톰이랑 메리는 자기들이 말한 대로 하고 있어.	Tom and Mary do as they're told.
3289	자폐증을 가진 사람들은 사회생활에 어려움을 갖는 경향이 있어.	People with autism tend to have trouble with social interactions.
3290	톰은 집중하고 있지?	"Tom is concentrating	 isn't he?"
3291	나는 톰을 더 이상 안 좋아해.	I don't like Tom anymore.
3292	톰은 괜찮아 보였어?	Did Tom look OK?
3293	나는 소설 번역은 더 이상 안할 거야.	I don't translate novels anymore.
3294	내가 널 어디선가 본 적 있지 않았어?	Haven't I met you somewhere before?
3295	나는 톰을 즉각 알아챘어.	I recognized Tom right away.
3296	아마 이게 도움이 될거야.	Maybe this would help.
3297	이건 중요한 것 같아.	I think this is important.
3298	그 사람은 키가 커.	He is tall.
3299	나는 그 누구도 나한테 화를 안냈으면 좋겠을 뿐이야.	I just don't want anyone to be mad at me.
3300	우리에겐 전문가가 필요해.	We need experts.
3301	나는 단지 차분해질 필요가 있어.	I just need to stay calm.
3302	나는 어젯밤에 책을 읽느라 두 시간을 보냈어.	I spent two hours reading a book last night.
3303	나는 오스트레일리아에 가고 싶어.	I'd like to visit Australia.
3304	이건 단지 임시방편이라니까.	I assure you this is only temporary.
3305	너 운동 좀 더 해야겠어.	You should exercise more.
3306	톰은 개방적이야.	Tom is open-minded.
3307	나는 괜찮은 외과의사인 것 같아.	I think I'm a good surgeon.
3308	이게 큰 문제일 것 같진 않은데.	I don't think it's a big problem.
3309	톰의 프랑스 실력이 많이 오른 것 같아.	I think that Tom's French has improved a lot.
3310	이제 별일은 없을 것 같아.	I think that everything's fine now.
3311	이 사진은 10월에 찍힌 사진 같아.	I think this photo was taken in October.
3312	톰이 기차를 놓친 것 같아.	I think that Tom missed the train.
3313	내 생각에 톰은 아주 신나할 것 같아.	I think Tom would be thrilled.
3314	난 누구나 실수는 한다고 생각해.	I think everyone makes mistakes.
3315	톰이 뭔가를 알고 있는 것 같아.	I think that Tom knows something.
3316	톰은 혼자 자기 방에 있을 것 같아.	I think Tom is alone in his room.
3317	톰이 우리한테 거짓말 한 것 같아.	I think Tom has lied to us.
3318	너는 톰을 만나봐야 할 것 같아.	I think you should meet Tom.
3319	톰은 일 중독자인 것 같아.	I think that Tom is a workaholic.
3320	톰은 중독 성향이 있어.	Tom has an addictive personality.
3321	톰은 패스트푸드 중독자야.	Tom is addicted to junk food.
3322	그 사람은 마약 중독자야.	He's addicted to drugs.
3323	너 마약 중독자야?	Are you a drug addict?
3324	톰은 헤로인 중독자야.	Tom is addicted to heroin.
3325	그 사람들 중독되었어.	They got addicted.
3326	비디오 게임은 중독성 있어?	Are video games addictive?
3327	톰이 코카인 중독자였다니 몰랐어.	I didn't know that Tom was a cocaine addict.
3328	"내가 어렸을 때	 나는 추리 소설 중독자였어."	"When I was a boy	 I was addicted to reading detective stories."
3329	난 중독자야.	I'm addicted.
3330	톰은 메스암페타민 중독자야.	Tom is a methamphetamine addict.
3331	니코틴이 헤로인만큼 중독성 있어?	Is nicotine as addictive as heroin?
3332	카페인은 중독성 있어.	Caffeine is addictive.
3333	난 중독자 아니야.	I'm not an addict.
3334	나 심각한 중독자인 것 같아.	I think I'm seriously addicted.
3335	톰은 진통제에 중독되어 있어.	Tom is addicted to painkillers.
3336	왜 니코틴은 이렇게나 중독성 있어?	Why is nicotine so addictive?
3337	나는 한때 헤로인 중독자였어.	I used to be a heroin addict.
3338	톰은 마약 중독자가 아냐.	Tom isn't a drug addict.
